Diagnosed Diabetes; Non-Hispanic White (Race-Ethnicity); Adults Aged 18+ Years; Age-Adjusted Percentage; U.S. States; 2017
Data downloaded on 28-April-2023
State,Percentage,Lower Limit, Upper Limit
Median of States,7.9,7.4,8.5
Alabama,11.7,10.6,12.9
Alaska,7.2,6.0,8.7
Arizona,7.4,6.8,7.9
Arkansas,10.5,9.2,11.8
California,6.1,5.4,6.9
Colorado,5.4,4.9,6.0
Connecticut,6.6,6.0,7.2
Delaware,8.5,7.3,9.8
District of Columbia,3.9,2.9,5.1
Florida,7.7,6.9,8.5
Georgia,10.0,8.8,11.3
Hawaii,4.2,3.3,5.3
Idaho,7.0,6.3,7.9
Illinois,8.5,7.5,9.5
Indiana,10.0,9.4,10.6
Iowa,8.2,7.5,8.8
Kansas,8.7,8.3,9.1
Kentucky,11.3,10.3,12.3
Louisiana,9.8,8.7,11.0
Maine,8.5,7.7,9.3
Maryland,7.4,6.8,8.1
Massachusetts,7.4,6.4,8.6
Michigan,8.6,8.0,9.3
Minnesota,6.5,6.1,6.9
Mississippi,11.1,9.9,12.4
Missouri,8.6,7.8,9.5
Montana,6.1,5.4,7.0
Nebraska,8.6,7.9,9.2
Nevada,7.7,6.6,9.1
New Hampshire,7.1,6.3,8.0
New Jersey,7.1,6.4,7.9
New Mexico,6.1,5.2,7.2
New York,7.1,6.5,7.8
North Carolina,8.0,7.0,9.1
North Dakota,7.9,7.2,8.6
Ohio,9.4,8.7,10.1
Oklahoma,10.4,9.5,11.4
Oregon,7.8,7.0,8.7
Pennsylvania,8.1,7.3,9.0
Rhode Island,7.1,6.2,8.1
South Carolina,9.9,9.1,10.8
South Dakota,8.5,7.4,9.9
Tennessee,11.0,10.0,12.2
Texas,8.7,7.5,10.0
Utah,6.9,6.3,7.5
Vermont,6.5,5.8,7.2
Virginia,8.3,7.5,9.1
Washington,7.3,6.8,7.9
West Virginia,12.9,12.0,13.9
Wisconsin,6.8,6.1,7.6
Wyoming,7.6,6.8,8.6
Guam,Suppressed,Suppressed,Suppressed
Puerto Rico,Suppressed,Suppressed,Suppressed
Virgin Islands of the U.S.,No Data,No Data,No Data
US Diabetes Surveillance System; www.cdc.gov/diabetes/data; Division of Diabetes Translation - Centers for Disease Control and Prevention.
