Obesity; Total; Adults with Diabetes Aged 18+ years; Age-Adjusted Percentage; U.S. States; 2011
Data downloaded on 28-April-2023
State,Percentage,Lower Limit, Upper Limit
Median of States,57.9,55.8,60.2
Alabama,50.6,43.6,57.7
Alaska,Suppressed,Suppressed,Suppressed
Arizona,60.3,50.2,69.5
Arkansas,64.9,55.7,73.2
California,49.7,43.5,56.0
Colorado,43.8,36.5,51.4
Connecticut,61.0,52.8,68.6
Delaware,67.5,59.0,75.0
District of Columbia,58.3,44.4,71.0
Florida,52.3,43.2,61.2
Georgia,65.5,57.4,72.8
Hawaii,49.7,41.0,58.4
Idaho,53.9,43.5,63.9
Illinois,50.1,38.9,61.3
Indiana,58.1,50.7,65.0
Iowa,66.2,56.7,74.5
Kansas,64.5,59.8,68.9
Kentucky,63.6,56.2,70.5
Louisiana,63.9,58.0,69.4
Maine,59.4,52.8,65.6
Maryland,66.5,58.6,73.4
Massachusetts,54.3,47.8,60.6
Michigan,65.7,58.7,72.1
Minnesota,53.4,46.2,60.5
Mississippi,56.2,49.3,62.9
Missouri,69.9,62.2,76.6
Montana,56.2,46.1,65.8
Nebraska,59.0,53.7,64.1
Nevada,44.0,30.9,58.1
New Hampshire,48.5,38.3,58.9
New Jersey,57.3,50.4,64.0
New Mexico,56.1,48.4,63.6
New York,55.4,47.4,63.2
North Carolina,60.2,53.1,66.8
North Dakota,57.5,45.3,68.9
Ohio,53.1,45.1,61.0
Oklahoma,60.1,53.3,66.5
Oregon,46.0,35.6,56.7
Pennsylvania,61.4,53.5,68.8
Rhode Island,63.1,55.0,70.5
South Carolina,57.8,51.8,63.6
South Dakota,53.8,43.4,64.0
Tennessee,60.4,48.2,71.5
Texas,56.1,49.2,62.8
Utah,50.0,43.1,56.9
Vermont,55.8,44.4,66.6
Virginia,60.3,51.6,68.4
Washington,59.3,52.2,66.0
West Virginia,60.8,52.9,68.1
Wisconsin,59.3,47.3,70.2
Wyoming,63.0,53.7,71.4
Guam,52.3,41.6,62.9
Puerto Rico,48.9,42.2,55.6
Virgin Islands of the U.S.,No Data,No Data,No Data
US Diabetes Surveillance System; www.cdc.gov/diabetes/data; Division of Diabetes Translation - Centers for Disease Control and Prevention.
