High Blood Sugar Testing; Total; Adults without Diabetes Aged 18+ Years; Age-Adjusted Percentage; U.S. States; 2011
Data downloaded on 25-April-2023
State,Percentage,Lower Limit, Upper Limit
Median of States,55.0,52.4,56.1
Alabama,57.4,55.0,59.7
Alaska,49.5,47.0,52.0
Arizona,55.3,52.6,57.9
Arkansas,53.4,50.3,56.5
California,No Data,No Data,No Data
Colorado,No Data,No Data,No Data
Connecticut,55.8,53.9,57.8
Delaware,58.8,56.0,61.5
District of Columbia,58.6,55.6,61.6
Florida,58.3,56.1,60.5
Georgia,No Data,No Data,No Data
Hawaii,49.8,48.0,51.6
Idaho,48.5,46.2,50.7
Illinois,No Data,No Data,No Data
Indiana,56.1,54.1,58.2
Iowa,52.9,50.7,55.1
Kansas,51.9,50.1,53.7
Kentucky,57.5,55.2,59.7
Louisiana,56.7,54.6,58.7
Maine,57.6,54.9,60.3
Maryland,No Data,No Data,No Data
Massachusetts,52.1,50.6,53.6
Michigan,No Data,No Data,No Data
Minnesota,46.3,45.1,47.6
Mississippi,55.1,52.9,57.4
Missouri,No Data,No Data,No Data
Montana,47.3,45.6,48.9
Nebraska,51.1,49.2,52.9
Nevada,52.4,49.3,55.6
New Hampshire,54.0,52.0,55.9
New Jersey,52.2,50.8,53.6
New Mexico,55.5,54.0,57.0
New York,59.1,56.0,62.2
North Carolina,60.6,58.7,62.6
North Dakota,No Data,No Data,No Data
Ohio,55.2,53.2,57.2
Oklahoma,51.5,49.0,54.0
Oregon,57.6,53.9,61.4
Pennsylvania,56.5,55.0,58.0
Rhode Island,56.0,53.7,58.3
South Carolina,56.2,54.6,57.7
South Dakota,54.4,51.5,57.2
Tennessee,58.4,55.3,61.5
Texas,52.6,49.8,55.4
Utah,50.2,48.0,52.3
Vermont,No Data,No Data,No Data
Virginia,54.8,52.1,57.5
Washington,51.0,49.5,52.5
West Virginia,60.3,58.4,62.2
Wisconsin,48.7,46.6,50.9
Wyoming,49.9,48.0,51.8
Guam,43.8,40.6,47.0
Puerto Rico,69.0,65.8,72.0
Virgin Islands of the U.S.,No Data,No Data,No Data
US Diabetes Surveillance System; www.cdc.gov/diabetes/data; Division of Diabetes Translation - Centers for Disease Control and Prevention.
