High Blood Sugar Testing; Total; Adults without Diabetes Aged 18+ Years; Age-Adjusted Percentage; U.S. States; 2012
Data downloaded on 25-April-2023
State,Percentage,Lower Limit, Upper Limit
Median of States,53.5,52.0,54.6
Alabama,53.8,52.1,55.6
Alaska,50.1,47.9,52.3
Arizona,No Data,No Data,No Data
Arkansas,51.9,49.8,54.0
California,No Data,No Data,No Data
Colorado,No Data,No Data,No Data
Connecticut,54.1,52.4,55.7
Delaware,59.3,57.2,61.3
District of Columbia,No Data,No Data,No Data
Florida,56.5,53.7,59.2
Georgia,50.3,48.3,52.3
Hawaii,49.7,47.9,51.6
Idaho,No Data,No Data,No Data
Illinois,No Data,No Data,No Data
Indiana,54.0,51.7,56.3
Iowa,54.6,52.9,56.2
Kansas,52.0,50.1,54.0
Kentucky,53.4,51.8,55.0
Louisiana,57.4,54.8,59.9
Maine,56.9,54.8,58.9
Maryland,No Data,No Data,No Data
Massachusetts,51.3,49.8,52.9
Michigan,53.5,51.3,55.6
Minnesota,46.8,45.6,48.1
Mississippi,55.0,53.2,56.8
Missouri,No Data,No Data,No Data
Montana,No Data,No Data,No Data
Nebraska,No Data,No Data,No Data
Nevada,No Data,No Data,No Data
New Hampshire,No Data,No Data,No Data
New Jersey,56.4,55.1,57.7
New Mexico,54.6,53.1,56.0
New York,58.8,56.8,60.8
North Carolina,58.0,56.7,59.3
North Dakota,51.5,48.8,54.1
Ohio,53.5,52.2,54.9
Oklahoma,52.8,50.5,55.1
Oregon,51.8,48.6,55.0
Pennsylvania,54.6,53.4,55.8
Rhode Island,54.8,52.1,57.4
South Carolina,No Data,No Data,No Data
South Dakota,52.7,50.8,54.6
Tennessee,55.0,53.1,56.9
Texas,53.8,51.5,56.0
Utah,50.6,48.2,53.0
Vermont,50.9,49.0,52.8
Virginia,49.8,48.1,51.5
Washington,50.1,48.9,51.3
West Virginia,61.4,59.5,63.2
Wisconsin,53.4,51.2,55.6
Wyoming,No Data,No Data,No Data
Guam,49.4,46.1,52.7
Puerto Rico,69.8,68.3,71.3
Virgin Islands of the U.S.,No Data,No Data,No Data
US Diabetes Surveillance System; www.cdc.gov/diabetes/data; Division of Diabetes Translation - Centers for Disease Control and Prevention.
